"Dataset","Category","Train","Val","Test"
"WHDLD","bare","7, 746, 403","2, 475, 482","2, 854, 410"
"building","21, 848, 819","7, 135, 568","6, 917, 771"
"pavement","22, 842, 445","7, 671, 979","6, 782, 834"
"road","8, 225, 161","2, 850, 179","2, 869, 957"
"vegetable","87, 444, 443","28, 505, 640","28, 859, 223"
"water","46, 141, 433","16, 110, 720","16, 465, 373"
"GID","others","125, 858, 447","40, 426, 710","40, 061, 365"
"built-up","49, 528, 719","16, 603, 346","17, 203, 079"
"farmland","125, 542, 298","41, 351, 598","40, 884, 984"
"forest","37, 555, 494","12, 302, 122","13, 716, 761"
"meadow","25, 657, 841","9, 335, 581","8, 437, 873"
"water","65, 249, 073","23, 111, 267","22, 826, 562"
