"Dataset","Method","OA","AA","K","mIoU","FWIoU","F1"
"2015","1D U-Net","92.302","75.017","87.339","66.745","86.581","76.114"
"2D U-Net","91.883","85.710","86.788","74.131","86.174","84.117"
"3D U-Net","96.620","85.819","94.391","82.151","93.517","88.112"
"3D U-NetAtt","96.272","90.662","93.876","83.441","93.143","88.947"
"Conv-LSTM","96.682","90.314","94.523","84.618","93.770","91.123"
"3D FGC","96.272","90.662","93.876","83.441","93.143","90.380"
"3D MSFCN","97.784","93.275","96.339","87.753","95.848","92.971"
"2017","1D U-Net","95.709","74.331","89.365","66.091","92.065","75.924"
"2D U-Net","96.369","78.015","90.933","71.873","93.491","81.449"
"3D U-Net","96.662","81.836","91.851","74.375","94.252","83.497"
"3D U-NetAtt","97.102","82.320","93.020","75.505","94.904","84.380"
"Conv-LSTM","96.414","81.379","91.117","75.026","93.456","84.156"
"3D FGC","97.083","82.052","92.841","75.387","94.767","84.311"
"3D MSFCN","97.132","85.088","93.039","77.156","94.880","86.018"
