"Dataset","Method","rice","corn","sorghum","tree"
"2015","1D U-Net","97.743","92.968","75.965","37.781"
"2D U-Net","97.301","92.321","72.225","74.623"
"3D U-Net","98.476","95.780","82.997","75.194"
"3D U-NetAtt","98.369","97.055","92.721","67.642"
"Conv-LSTM","98.733","97.154","89.791","78.813"
"3D FGC","98.670","96.839","87.997","78.013"
"3D MSFCN","99.184","98.203","94.317","80.180"
"2017","1D U-Net","96.582","97.671","58.544","50.899"
"2D U-Net","97.226","97.864","65.230","65.476"
"3D U-Net","97.868","98.115","67.790","70.215"
"3D U-NetAtt","97.752","98.413","74.264","67.091"
"Conv-LSTM","96.643","97.940","65.798","76.244"
"3D FGC","97.861","98.335","72.562","68.485"
"3D MSFCN","98.236","98.586","77.660","69.589"
